,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
853,107194P154,24/7 customer support.; A city exploration game available on your phone (Questo app).; A tour guide.,"Discover New York’s haunted landmarks and the horror stories behind them. As you solve challenges, the story unfolds and exact directions on your phone will guide you to the next location. Ready for an adventure?

Highlights:
1. Explore famous places in New York such as the Washington Square Arch, the Jefferson Market Library and lesser-known places.
2. Enjoy a uniquely crafted story brought to you by our talented writers.
3. Check out the theatre that was founded by a famous female American Poet
4. Discover the dark history of Manhattan’s corrupt political past, where skeletons still remain.
5. Try a new type of experience, the perfect mix between a tour, outdoor escape game, and treasure hunt.",fr
854,107194P156,A city exploration game available on your phone (Questo app).; 24/7 customer support.; A tour guide.,"Uncover the Downtown of the Most Haunted City in Texas! Find yourself face to face with the ghosts of Austin’s past, some of which are friendly, others not so much. Learn all about previous sightings, locations, and optimal ghost-spotting hours. Grab a companion and discover more about the dark past of the Capital City of Texas! 

Will you explore the haunts of Austin?

Highlights:
1. Explore historical places in Austin such as the Texas Capitol, the Texas Governor's Mansion and lesser-known places
2. Enjoy a uniquely crafted story brought to you by our talented writers.
3. Follow a little-known path of history that may connect America’s first serial killer to one of the most famed assassins of all time.
4. Explore the Haunted Hotels along 7th street.
5. Try a new type of experience, the perfect mix between a tour, outdoor escape game, and treasure hunt.",fr
885,107196P1,Lunch,"New York City was made for walking and here is your chance to step into a whole new world. We offer visitors a rare glimpse into the Hassidic community of Crown Heights, Brooklyn.

We meet and greet at a local library located at 305 Kingston Ave. Our first stop is usually the Chassidic Scribe where you will see the masterful creation of various religious artifacts and a firsthand glimpse into the creation of holy Judaica items. Then it's off to the world famous 770 synagogue and then to 4. Then we visit a women's ritual bathhouse and hear about the Chassidic approach to dating, marriage and intimacy and how the Mikvah is the foundation of it all. Then it's off to the Matzah Bakery we go and although this part of the tour is seasonal (October-April) you will actually be able to walk through the entire bakery and see the intricate baking process. 

The tour generally takes 3 hours. 

5.",it
914,107676P1,Small breakfast; Helmets; Tour video; Guide,"Your route starts and finishes at the meeting point: Woobikes experiences & rental, where you can have a coffee and croissant (included) to get some energy for the ride. After that you get on your eBike and start the adventure into the world of Barcelona and Gaudí!

Discover worldwide known places like Sagrada Familia and Las Ramblas, you will also meet other landmarks of Barcelona like Ciudadella park or Arc de Triomf as we travel between the different works of one of the greatest architects ever known!

We also include a video of your experience using a GoPro action camera!

Child seats are available as well :)",sv
917,107676P5,Helmets,The experience offers a unique insight of the city and special tapas from the vasque country! You will get a full understanding of the city's history and attractions!,fi
931,107859P496,Private guide,"Because Paris is even more beautiful at night come with me to discover some of the most amazing monuments of the city enlightened. From a magical rooftop view at 360 degrees to the sparkling Eiffel tower!

●Paris

●Night tour

●2.5 hours

●Walking tour

●Private tour.Only you and your host

●Including:Private guide

This is what makes this tour unique：

Enjoy magical rooftop views

Experience Paris by night with a local

Walk on the famous Champs Elysées

Learn interesting facts & stories

Marvel at the enlightened Eiffel tower

100% tailored tour to your wishes

Attention please:

It's easy to have full bookings in peak season. Please book as early as you can. The available booking will be confirmed within 24 hours, otherwise, it will be rejected and payment will be refunded instantly.

The reservation will be confirmed after paying the displaying deposit, and pay the final payment on arrival.",ro
977,107859P694,One-hour sightseeing river cruise,"This one-hour cruise will take you right through the heart of the Paris. You'll take in the City of Lights most famous sights from the water: the Louvre, Place de la Concord, the Musée D’Orsay and more. 

Hop on board this Seine River cruise and enjoy the capital of France from the deck of a boat. Departing from the foot of the Eiffel Tower, the cruise passes through the historical center of Paris, and offers spectacular views of the city's most iconic monuments - the Louvre, Notre-Dame Cathedral, and the Musée d’Orsay, among others.

Attention please:
It's easy to have fully bookings in peak season. Please book as early as you can. The available booking will be confirmed within 24 hours, otherwise, it will be rejected and payment will be refunded instantly.
",af
982,107859P701,Reserved access to the Musée d'Orsay - use museum Entrance 'C'+musée de l'Orangerie; Reserved access to the Musée d'Orsay - use museum Entrance 'C',"The Musée d'Orsay is home to France's national collection of Impressionist, Post-Impressionist and Art Nouveau works. Its richness and marvels make it one of the most culturally important museums in the world. This ticket gets you skip the line access to this treasure trove of important (and beautiful) art.

All of the works in the Musée d'Orsay are the product of the period 1848-1914, positioned between the works of the neighboring Louvre Museum's works, and the collection of the nearby Pompidou Centre.",fr
1041,108053P18,HELMET; maximum travellers 7,"In this tour you will visit the Salt Mountain in Cardona.

Is a unique natural phenomenon in the world and is still growing as the rain erodes it.

Its height of 120 metres is just the tip of a big diapir with a depth of nearly two kilometres.

For one hour, you will descend to a depth of 86 metres and enjoy the spectacle of the shapes and textures of the salt massif, its white stalactites and stalagmites.

The former mining complex is now the Salt Mountain Cultural Park, a large cultural facility intended to inform the public about the importance of salt, the site’s exceptional geology and the use that people have made of this natural resource for centuries.

This is a private tour, except during the visit at the SALT MOUNTAIN, which will be a maximum of 30 people.",sv
1046,108053P23,extra stops,"We offer transfer service from Salou, or Port Aventura or La Pineda to Barcelona city, Barcelona airport or Barcelona port terminals. And also posible to make the transfer on the other way from Barcelona to Salou.
Private transfers with luxury Mercedes Benz cars and minivans up to 7 passengers. Our minivans Mercedes V class has 7 passengers seats and trunk capacity for 7 suitcases and 2 or 3 cabin bags or trolleys.",ro
1126,108889P17,professional guide service private tour; transportation,"In 1900 Montmartre was the world capital of artists. Your professional guide will explain to you why Picasso, Van Gogh, Renoir, Degas, Toulouse Lautrec used to live their. You will discover where they used to live and some artists studios. You will love the charming streets & atmosphere. Montmartre disctrict is still appearing like a little French village. You will visit also the amazing Sacred heart basilica. The second most important church in Paris. You will be impressed by its mosaics (the biggest in France). From the top oft he hill you will have one of the greatest views over Paris. With your private guide you it will be easy to spot all the major Parisian monuments you will see. This tour is a fantastic opportunity for all the art lovers who want to discover in more depth history of impressionist & modern artists. ",fr
1130,108889P20,Private driver Mercedes Van; private guide,"You will enjoy the comfort of this excursion with private guide + chauffeur Vehicle Mercedes Van.

Discover one of the greatest Cathedrals in the world and its 2,700 square meters of medieval stained glass windows.
",ro
1131,108889P21,Tour Guide,"private tour with a professional & experienced guide. You will visit at your own pace an be able to ask everything you wanted about Egypt & the pharaohs. 
",fr
1142,108889P32,lecturer guide,"A visit which combines 2 of the the greatest monuments in Paris : Sainte Chapelle & Conciergerie.
A real adventure through Medieval & Revolution times.
Discover the amazing stained glass windows which belong to the greatest in Europe. Admire their beauty and learn about their message.
It is a private tour. You can ask your lecturer guide all the questions you want and learn more about French history, arts, architecture & religion.
",fr
1184,10913P41,Tickets at Château de Fontainebleau,"A nice tour to Fontainebleau Castle is located about 60 km south-east of Paris. It served as the residence of the French kings for seven centuries, from Francois I to Napoleon III. Many crowned people of Europe came here, including Emperor Peter I and Pope Pius VII. Here Napoleon was saying goodbye to his army during his first abdication from the throne, and from there he went to the island of Elba. The castle and its garden are listed as a UNESCO World Heritage Site. You have the chance to visit the luxurious, recently updated apartments of Napoleon III. Optionally, the tour can be combined with a visit to the nearby castle - Vaux le-Vicomte, which inspired Louis XIV to build Versailles.",fr
1208,109713P6,Rafraîchissements légers; Prise en charge et retour à l'hôtel; Headsets to hear the guide clearly; Guide professionnel; Lunch,Discover the entire region of Versailles. Find your driver in front of your hotel. You will then be able to discover the majestic castle and its gardens. Adjustable schedule at your own pace.,fr
1395,110975P18,Private guide,"Ready to know the must-see places of the Antique Barcelona? Your private guide will dip you into the history of the walled city, guiding you through narrow passages full of past & secrets and telling you their captivating stories, avoiding the dense tourist crowd.
Visit in this private city tour the three Old Quarters of the medieval Barcelona: The Gothic Quarter, Raval and Born, where some buildings remain unchanged, others instead show the influence of the Modernist Architecture. You will visit the roman walls, historical buildings, and hidden squares. 
A ‘tapa’ accompanied with a glass of Red Wine in a local tavern are included!
Book now this amazing tour with a private guide, just for you.

- Walk throught the medieval quarters.
- Private Walking tour, just you and your guide
- Discover the hidden highlights of Barcelona.
- Listen incredible stories from your local guide.
- 1 stop in a traditional bar
- A tapa and a traditional drink included.
- 100 % private city tour.
",it
1470,111483P1,Tickets,"The history of the Louvre Museum is magnificent. Its rich art collection is of unfathomable proportions. The Louvre can be a mind-boggling experience. During our visit, I suggest a straight-forward approach!",sv
1476,111586P1, Private guide; Transport;  Tips,"I have just retired as an executive in Industry. Now that I have the time to do it, I would like to share my knowledge of Paris and have been born in Paris and lived my entire life in the historical center. I still live there today and have a lot of cultural life, events and places to go. I have traveled extensively throughout the world during my business life in North America, Europe and Asia, on my own, with my family or colleagues. I often found it difficult to find a guide that would make me better understand the history of the place I visited in greater depth. For this reason, I feel that I can offer something more than just basic guidance. I have a passion for History, Opera and Theater. My car can be made available for your visits in Paris at no extra cost.
",ro
1481,111736P11,Personal certified guide,"The tour starts at Central Park south and you will see the east of Central Park and you also see 
-Jose Julian Martin Statue, 
-Heckscher Playground from Jessie TV show
-Driprock Arch
-Chess and Checkers
-Dairy Visitor Center & Gift Shop
-Wollman Ring
-Central Park Zoo
-Gapstow Bridge from Home Alone 2 Movie 
-Plaza Hotel
-Balto Statue
-The Mall and Literary Walk
-Summer Stage

The Loeb Boathouse
-Bethesda Fountain
-Friends Fountain and Take one stop for photos
-Bow Bridge
-Wagner Cove
-Strawberry Field and Central Park West
-Tavern on the Green Restaurant
-Sheep Meadow
-Pinebank Arch Bridge from Elf",es
1547,113836P2,gloves; helmet,"Attractive price: Paris cheapest rental agency.

Competitive price: Rent of scooter 125cc the cheapest

Equipment: supplied with a top case and a lock

Comfort: 2 places on the vehicle",da
1554,113978P1,Tips,"Have dinner below the Eiffel Tower in a floating glass restaurant.
For your pleasure, the Bistro Parisien has put together an appetizing menu of delicious food prepared with seasonal produce for a full gastronomic meal. On the terrace, under the glass roof, or by the water's edge, relax and enjoy a delicious meal at the Bistro Parisien!",lt
1564,114320P5,Yoga Class,"Drunk Yoga is a social, interactive yoga experience (yoga party!) hosted in bars, cafes, office spaces, and other unconventional settings. We help beginners experience yoga without fear, and seasoned yogis reconnect with yoga sans pressure to be perfect. Our mission is to inspire joy, cultivate community, and bring you back to yourself. We invite you to let your hair down, have some fun and enjoy this potent union of yoga and social ritual.",et
1649,115170P1,"Traditional Seafood Paella, Sangria and Crema Catalana for dessert.","Take market tour and hands on cooking class where you make everything! Select some ingredients for you class at the market while interacting with local vendors and learning about local food culture. You will love the final result as we use only the freshest high quality ingredients and show you how to make it the right way! This activity Includes: Traditional Seafood Paella, Sangria and Crema Catalana for dessert.",ca
1737,116252P1,Hardware,"Spartrack-VR is a collaborative shooting game, team and free movement in a space of 120 m2. This unique experience allows groups of 2 to 8 people to spend an immersive moose and unique moment.

This animation is accessible to all public from 10/12 years.",so
1741,116336P3,Tips,It covers entire lower loop of the park . You would see • Wollman Rink • Carousel • Chess & Checker House • The Dairy • Plaza Hotel • 5th Avenue/Upper East Side • Literary Mall • Balto Statue • Summer Stage • Boat Pond • The Loeb Boathouse Restaurant • Bethesda Fountain • Bandshell • The Lake • Cherry Hill (photo stop) • The Bow Bridge • The Museum Of Natural History • Strawberry Fields • Upper West Side • Dakota Building • Sheep Meadow • Tavern On The Green • Heckscher Playground • Columbus Circle • And More. It includes 2 PICTURE STOPS as well.,lt
1742,116534P1,Observatory Tickets,"We are exploring Midtown!! We will start at the Eastern End, by the Chrysler Building. Pass through Grand Central, visit the Empire State Building, Bryant Park, Rockefeller Center, Times Square and Hell's Kitchen for delicious food!! I am an NYC native and only look forward to an honest and exciting tour. I have lived here for 29 years and can give you all kinds of recommendations throughout the tour. Cameras are encouraged!",sk
1747,116729P1,30 digital edited photographs,"This photoshoot is unique due to its focus on candid images and a distinct photography style. Rather than posed and staged shots, the photographer captures natural, spontaneous moments that truly capture the essence of Paris. The result is a collection of images that feel authentic and alive, showcasing the beauty and charm of this iconic city in a way that feels fresh and exciting.",it
1755,116778P16,Visit the Sacré Coeur; Specialties Montmartre's tastings; Visit Notre Dame de Lorette; Private local expert guide,"Famous world-over for its chic art scene, impressive history, and remarkable heritage, our Montmartre tour will transport you to the cultural heart of Paris. Stroll through the mesmerizing Notre Dame de Lorette, and get up close to its handpainted murals and gilded ceilings. Uncover its unique past as you make your way down the world-famous Rue Des Martyrs, sampling a selection of authentic French delicacies. Walk in the footsteps of iconic artists as you explore the cobbled streets of Montmartre, and uncover the extraordinary architecture that inspired them.",fr
1758,116778P19,Skip-the-Line Sainte-Chapelle and Conciergerie Entrance Ticket; Private local expert guide; Private Transfer to/from Ile de la Cité,"Walk in the footsteps of royalty as you explore two of the most important buildings in France’s turbulent history. Stroll through soaring archways as you gaze up at immaculate stained glass windows, as you discover the incredible story behind the Sainte Chapelle. Hear how the building changed throughout the ages, and catch a glimpse of some of the hidden treasures once kept here. Walk in the footsteps of French icons, including Marie Antoinette and Napoleon III, as you visit the site of the notorious Conciergerie prison. Immerse yourself in the fascinating world of the French revolution, and discover the secrets lurking behind the stone facade.",fr
1834,117489P8,Gratuities ,"Enter the old school feel of NYC in the neighborhood known as the Lower East Side. From the tenement homes to the countless pushcarts that roamed these streets you will get to experience the very few old establishments left in the city. The feel of Jewish immigration holds heavy still in the neighborhood as we get severed knishes from an establishment dating back to the early 1900's. We also venture to the one and only world famous Katz Delicatessen. 
",af
1856,117627P2,Entry ; two-drink minimum,"LOL Comedy Lounge located in Times Square's heart on 336 West 46th Street. LOL Between 8th & 9th Avenue is their latest location. 

They aim to be the best entertainment studio in New York City. Their audience comprises tourists, young professionals, blue-collar workers, and individuals from all walks of life: In other words, anyone looking for a funny and affordable night out.

This club showcase format features up-and-coming acts, seasoned local talent, and comic headliners with television and film credits. Our goal is to make our audience laugh while offering a full bar and providing excellent service in a welcoming environment.

This club consistently showcases the best comedic talent available, combining local, national, and international acts for the very best shows that New York City has to offer. It's just that simple, so please join us and don't forget to LOL NEW YORK!

Comedians for this month:
Mark Demayo, Kenny Ortega, Dominic Leonelli, Francisco Aldorando,",pl
1894,118211P2,Guide,"Join a small group walk around Barcelona's Gothic Quarters 

We limit each group to a maximum of 8 in order to give our personal story of Barcelona in personal way.

Explore several thousand years of Barcelona's history with Rasmus. During this 2-hour guided tour through Barcelona's Gothic Quarter, we travel back in time and explore the city from the Roman and medieval eras to the present. We discover the charming neighborhood's winding streets and squares and the many historical buildings and events that has shaped the area into what it is today. We also explore current events from culture, food and the independence movement. As we walk along one of the world's best-preserved Roman walls, we learn about the city's origins as a Roman colony. We also pass through many of the hidden squares and learn more about Plaça del Rei, Barcelona Cathedral and many other interesting buildings. Discover Barcelona's Gothic Quarter with this guided walk . ",es
1897,118261P3,Visita con guida in Italiano,"The walking tour starts at the Palais Royal and will take you through some off-path covered passages. Paris is made up of many hidden gems: come and discover the history of covered ""Passages"", which still preserve the architectural charm of this time. The visit will allow you to visit the most famous and beautiful passages, always popular with Parisians for a shopping break or a coffee.

Ideal among the many things to do in Paris when it rains.
*** reduction from the 2nd and 4th adult ***",it
1898,118261P4,Guida in Italiano,"*** Prezzo fino a 4 persone - L'orario d'inizio può essere adattato alle vostre esigenze ***

A walk in the oldest district of the French capital, which was spared by the major works of the 14th century. Today is undoubtedly the trendiest district of the capital, a district with exceptional architecture where sumptuous mansions, museums and shopping streets coexist. A district full of history.

**Mother-tongue Italian Paris Guide**

",it
1901,118261P7,Local Guide; Tips ,"The walking tour takes place every day of the week (except Sunday), A walking tour through history, from the scandalous and glamorous Palais Royal to some of the most beautiful covered passages of the city which, since the 1800s, Parisians love to visit for a coffee break, some classy shopping or simply for a stroll.

Ideal among the things to do in Paris when it rains.

The tour will call at:
Palais Royal
Galerie Vivienne
Galerie Colbert
La Bourse (Stock Market)
Passage Panoramas
Passage Jouffroy
Passage Verdeau
",es
1903,118261P9,Guide in Italian,"*** Group visit **** Not suitable for children under 16 ***

Montmartre is undoubtedly the most picturesque district in Paris and there is more to it than the Sacre Coeur and the artists' square! With this walk you will discover the history of this neighborhood and some corners less known by tourists.

We will start from the famous Moulin Rouge and then go up the hill, passing through the typical streets and squares from where it is possible to admire some glimpses of Paris.
The walk continues past the last 2 windmills of Montmartre, the famous vineyard, the Dalida house and the ""Ti Amo"" wall.
Obviously we will visit the Place du Tertre to reach the top of the hill where we will find the Basilica of the Sacred Heart and from where it is possible to admire one of the most beautiful panoramic views of Paris.",nl
1928,118583P3,Tickets; Transport,"Experience a great evening at the legendary Moulin Rouge Cabaret

show with champagne

The price includes:

Moulin Rouge show ticket

1/2 bottle of Champagne per person

The price does not include:

Transport",sv
1951,118940P1,Child seat; Bike rental and Guide; Guide; Helmet (optional),"A fun, laid-back bike tour that gives you a great overview of Barcelona’s amazing architecture, history and street culture. Through your local guide, you will experience Barcelona from its beaches to its back streets, monumental buildings to its bodegas, and from its Roman ruins to its romantic hideaways. The Barcelona Bike tour is the best way to see this fabulous city.

The tour takes approximately 3 hours, the bikes are comfortable and easy to ride, even for inexperienced cyclists who don’t know a handlebar from a tapas bar. Helmets are optional, but recommended. Groups are small so it’s friendly and intimate, there’s time to talk, take photos and enjoy all the amazing sights. This is a great activity for families, as the tour is suitable for all ages. Child seats are available.",nl
1952,118940P2,Helmets,"Enjoy the pleasure of a power-assisted ride to the top of the city, putting the entire of Barcelona and the glittering Mediterranean at your feet. Montjuic is a historic location home to a Royal Palace, Castle and the Olympic Stadium. It’s an effortless climb on the e-bikes through parks and nature trails and the views from the top will give you some incredible photo opp’s.

The Montjuic E-Bike Tour takes approx 3 hours with lots of stops for photo's and refreshments. Groups are small so its friendly and intimate. The bikes are comfortable and easy to ride. Helmets are optional, but recommended.",fi
1953,118940P3,Helmets,"The Modernista architecture of Barcelona defines the city. And the best way to see all the important Modernista buildings is by bike.

On the Gaudí Bike Tour, we’ll take you to many of the maestro’s great masterpieces, as well as show you other landmark Modernista buildings such as Casa Amatller, Palau de la Musica, and Casa de les Punxes. Although designed by lesser known architects, these buildings are spectacular in their own right and essential to Modernism and Barcelona.

The Gaudi bike tour takes approx 3 hours, but there are lots of stops and plenty of time for photos as well as refreshments. Groups are small so its a friendly and intimate experience. The bikes are comfortable and easy to ride. Helmets are optional, but recommended. Kids seats are available.",fi
2003,120041P9,Professional local guide,"We're the same of Girona and Costa Brava day trip from Bcn!
The goal of this adventure is to discover the Girona province with e-bikes. The route we will follow is mostly flat, no specific training is required. This area of Catalonia is rich in water in the subsoil which makes it perfect for a variety of crops. We will cover a distance of about 25km which will take us to discover some of the best-preserved medieval villages in all of Spain. The peace and silence we will enjoy will make you forget about the hustle and bustle of Barcelona. We will make several stops along the way so you can explore the villages. After about two and a half hours of riding, we will return to the starting point, drop off the bikes and head to the Costa Brava in our van. We will leave you some free time to have lunch and relax in one of the most magical villages in all of Spain, Calella De Palafrugell. Around 4 we will depart towards Barcelona where we expect to return around 6pm. ",it
